中文字詞,英文字詞,出現頻率,負責單位
食品,foods,52,三區管理中心、北區管理中心、防檢局、防檢署、食藥署、食藥署(北區管理中心)、食藥署(監管組)、食藥署(食品組)
防檢局,BAPHIQ,52,防檢局、食藥署
農藥,pesticides,50,TFDA、中區管理中心、品質監督管理組、農政機關、防檢署、食藥署
動物用藥品管理法,Veterinary Drugs Control Act,48,APHIA、BAPHIQ、三區管中心、漁業署、防檢局、防檢署、食品組、食藥署(中區管理中心)、食藥署(食品組)、食藥署(食品組1科)
防檢署,APHIA,47,三區管中心、中區管理中心、北區管理中心、漁業署、防檢署、食品組5科、食藥署、食藥署(中區管理中心)、食藥署(北區管理中心)、食藥署(食品組)、食藥署(食品組1科)
動物產品,animal products,46,2科)、TFDA、三區管中心、防檢署、食藥署、食藥署(中區管理中心)、食藥署(食品組)、食藥署(食品組1科、食藥署食品組
食品良好衛生規範準則,Regulations on Good Hygiene Practice for Food (GHP),45,TFDA、漁業署、食品組、食藥署
氯黴素,chloramphenicol,42,APHIA、BAPHIQ、TFDA、防檢署、食藥署
食品安全管制系統準則,Regulations on Food Safety Control System,42,TFDA、防檢局、食品組
HACCP,HACCP,42,三區管中心、標準局、漁業署、監管組、農政機關、食品組、食藥署、食藥署(三區管中心)、食藥署(食品組)、食藥署食品組
食品安全,food safety,39,食藥署(食品組)
藥理活性物質,pharmacologically active substances,38,中區管理中心、防檢署、食品組5科、食藥署
原材料,raw materials,35,漁業署、食品組、食藥署、食藥署(食品組)
禁用物質,prohibited substances,34,TFDA、防檢署、食藥署
動植物防疫檢疫署,BAPHIQ,32,BAPHIQ、BAPHIQ及TFDA、TFDA、防檢局
食品安全監測計畫,food safety monitoring plan,31,食藥署(食品組)
水產品,fishery products,30,北區管理中心、標檢局、標準局、漁業署、防檢署、食品組、食藥署
動物用藥,veterinary drugs,30,中區管理中心、農政機關、防檢署
食品安全管制系統準則,Regulations on Food Safety Control System (HACCP),29,TFDA、三區管中心、漁業署、食藥署
食品及其相關產品追溯追蹤系統管理辦法,Regulations Governing Traceability of Foods and Relevant Products,29,食藥署
污染物,contaminants,28,TFDA、The、中區管理中心、品質監督管理組、防檢署、食藥署
Council Directive 96/23/EC,Council Directive 96/23/EC,28,
食品生產動物,food-producing animals,28,APHIA、防檢署
食品中毒,food poisoning,27,防檢署、食藥署、食藥署(食品組)
蛋製品,egg products,27,BAPHIQ、TFDA、中區管理中心、品質監督管理組、畜產、防檢局、防檢署、食藥署(三區管中心)
Regulation (EU) 2022/2292,Regulation (EU) 2022/2292,27,
半成品,semi-products,26,漁業署、食品組、食藥署、食藥署(食品組)
成品,end products,26,漁業署、食品組、食藥署、食藥署(食品組)
回收,recall,26,TFDA、漁業署、防檢署、食品組、食藥署(食品組)
輸入食品系統性查核實施辦法,Regulations for Systematic Inspection of Imported Food,26,三區管理中心、衛生福利部食品藥物管理署、食品組2科、食藥署
風險評估,risk assessment,25,TFDA、食品藥物管理署、食藥署、食藥署(食品組1科)
有機氯化合物,organochlorine compounds,25,MOA、TFDA、中區管理中心、農業部、防檢署
殘留物,residues,25,漁業署、研檢組、防檢署、食品組、食藥署(食品組1科)
環境污染物,environmental contaminants,24,APHIA、MOA、中區管理中心、漁業署、農業部、防檢署、食藥署、食藥署(食品組1科)
硝基咪唑,nitroimidazoles,24,TFDA、防檢署、食藥署
沙門氏菌,Salmonella,24,TFDA、防檢局、食藥署、食藥署(三區管中心)
抽樣檢驗,sampling and testing,24,防檢署、食藥署(食品組)
GHP,GHP,24,TFDA、食藥署、食藥署(食品組)
乳製品,dairy products,24,監管組
食品衛生安全,food sanitation and safety,24,TFDA、三區管理中心、食品組2科、食藥署、食藥署(食品組)
後市場監測計畫,post-market monitoring plan,23,TFDA、中央畜產會
微生物,microorganisms,22,TFDA、漁業署、研檢組、防檢局、防檢署、食品組、食藥署、食藥署(北區管中心)
水產品,aquatic products,22,TFDA、三區管中心、漁業署、食品組
農藥殘留,pesticide residues,22,TFDA、中區管理中心、品質監督管理組、防檢署
獸藥管理法,Veterinary Drugs Control Act,22,APHIA、中區管理中心、防檢署
動物用藥殘留,veterinary drug residues,22,BAPHIQ、FSI、TFDA、中區管理中心、品質監督管理組、防檢署、食藥署(食品組)
漁業署,FA,22,FA、三區管中心、三區管理中心、北區管理中心、漁業署、監管組、研檢組、食品組
主管機關,competent authorities,21,中區管理中心、防檢署、食藥署
食品及相關產品輸入查驗辦法,Regulations of Inspection of Imported Foods and Related Products,21,2科)、TFDA、食藥署、食藥署(食品組1科
食品業者登錄辦法,Regulations Governing the Registration of Food Businesses,21,漁業署、食品組、食藥署、食藥署(食品組)
食品業者,food business operators,20,TFDA、食品組5科、食藥署
雙枚貝類,bivalve molluscs,20,標準局
抗生素,antibiotics,20,APHIA、防檢署
衛生福利部,Ministry of Health and Welfare,20,BAPHIQ、防檢署、食品藥物管理署、食藥署
衛生局,health bureaus,20,三區管中心、食品組、食藥署、食藥署食品組
動物用藥產品,veterinary medicinal products,20,中區管理中心、防檢署
矯正措施,corrective actions,19,防檢局、食品組、食藥署(三區管中心)
衛生證明,SANITARY CERTIFICATE,19,TFDA、衛生福利部食品藥物管理署、食品藥物管理署
動物用藥殘留標準,Standards for veterinary drug residue limits in foods,19,防檢署、食藥署、食藥署(中區管理中心)、食藥署(食品組)
食品,food products,19,MOHW、衛生福利部、食藥署
動物用藥殘留標準,Standards for Veterinary Drug Residue Limits in Foods,19,TFDA、防檢署、食藥署、食藥署(食品組1科)
水產養殖,aquaculture,18,APHIA、漁業署、食品組
抗球蟲藥,anticoccidials,18,APHIA、中區管理中心、防檢署
食品中微生物衛生標準,Sanitation Standard for Microorganisms in Foods,17,2科)、食品組、食藥署、食藥署(食品組)、食藥署(食品組1科
危害分析,hazard analysis,17,三區管中心、漁業署、食品組、食藥署
品質管制,quality control,17,TFDA、研檢組、食藥署(監管組)、食藥署(食品組)
加工廠,processing plants,17,TFDA、標準局
加工廠,Processing plants,17,食藥署
食品工廠建築及設備設廠標準,The Establishment Standards of Construction and Equipment of a Food Factory,17,三區管中心、漁業署、食藥署(食品組)
停藥期,withdrawal period,17,APHIA、TFDA、防檢局、防檢署
衛生福利部,MOHW,16,MOHW
人類食用,human consumption,16,APHIA、防檢署
一般食品衛生標準,Sanitation Standard for General Foods,16,食藥署
食品藥物管理署,Food and Drug Administration (TFDA),16,衛生福利部、衛生福利部食品藥物管理署、食品藥物管理署
雞蛋,hen eggs,16,TFDA
硝基呋喃,nitrofurans,15,BAPHIQ、TFDA、防檢署、食藥署
後市場殘留物監測計畫,post-market residue monitoring plan,15,TFDA、中區管理中心、品質監督管理組、防檢署、食品組5科、食藥署
地方縣（市）衛生局,Local County / City Health Bureaus,15,地方縣（市）衛生局
殘留,residues,15,
肉類產品,meat products,15,
自主檢驗,self-testing,15,
動物用藥品,veterinary drugs,15,APHIA、BAPHIQ、動植物防疫檢疫署、防檢局、防檢署
可追溯性,traceability,15,三區管中心、三區管理中心、漁業署、防檢署、食藥署(中區管理中心)
鴨蛋,duck eggs,15,TFDA
硝基呋喃代謝物,nitrofuran metabolites,15,TFDA
食品及其相關產品回收銷毀處理辦法,Regulations of recall and destruction for food and related products,14,漁業署、食品組、食藥署
食品安全危害,food safety hazards,14,食品組
BAPHIQ,BAPHIQ,14,
動植物防疫檢疫署,APHIA,14,APHIA、防檢署、食藥署(北區管理中心)
重要管制點,critical control points (CCPs),14,食品組
管制界限,critical limits,14,食品組
理事會 96/23/EC 指令,Council Directive 96/23/EC,14,
食品中污染物質及毒素衛生標準,Sanitation Standard for Contaminants and Toxins in Food,14,食品組
認證範圍,scope of accreditation,14,中區管理中心、中央畜產會、畜產、防檢署
安全容許量,permissible tolerance,14,防檢署、食藥署(食品組1科)
邊境查驗,border inspection,14,TFDA、三區管理中心、食品組2科、食藥署
蛋品,eggs,14,TFDA、防檢署、食藥署
衛生福利部,Ministry of Health and Welfare (MOHW),14,
包裝材料,packaging material,14,食藥署(食品組)
追溯,traceability,14,食藥署(監管組)
食品衛生標準,food sanitary standards,13,TFDA
監測計畫,monitoring plan,13,食品組
蜂蜜,honey,13,農政機關、食藥署
地方衛生局,local health bureaus,13,北區管理中心、漁業署、研檢組、防檢署、食品組、食藥署(中區管理中心)
標準局,BSMI,13,BSMI、標檢局、標準局
檢驗,testing,13,TFDA、三區管中心、食品組、食藥署(食品組)
地方政府衛生局,local health bureaus,13,三區管中心、三區管理中心、漁業署、防檢局、防檢署、食藥署、食藥署(三區管中心)
製程管理及品質管制基準,Process Management and Quality Control Guidelines,13,漁業署、食品組、食藥署(食品組)
成品,finished products,13,食藥署(食品組)
殘留物監測計畫,residue control plan,13,防檢署、食藥署
食品容器,food containers,12,北區管理中心、防檢署、食藥署、食藥署(北區管理中心)
衛生證明,sanitary certificate,12,北區管理中心、防檢署、食藥署、食藥署(北區管理中心)
獸藥,veterinary drugs,12,BAPHIQ、TFDA、防檢署
獸藥使用規程,Veterinary Drugs Uses Regulations,12,APHIA
漁業署,Fisheries Agency,12,三區管中心、漁業署、防檢署
標檢局,BSMI,12,標檢局
食品衛生與安全,food sanitation and safety,12,TFDA、衛生福利部食品藥物管理署、食品藥物管理署
家禽,poultry,12,農政機關、防檢局、防檢署
食品良好衛生規範,Regulations on Good Hygiene Practice for Food,12,TFDA
主管機關,Competent Authority,12,
農產品,agricultural products,12,TFDA、漁業署
動物用藥品,veterinary medicinal products,12,TFDA、防檢局、防檢署、食品組5科
化學物質,chemical substances,12,TFDA、防檢局、食藥署(北區管中心)
國家殘留監測計畫,national residue monitoring plan,12,中區管理中心、品質監督管理組、防檢署
輸入國,importing countries,12,TFDA
實驗室認證,laboratory accreditation,12,TFDA、三區管理中心、漁業署、防檢局、食藥署
抗菌物質,antibacterial substances,12,APHIA、TFDA、防檢署
Regulation (EU) 2017/625,Regulation (EU) 2017/625,12,
抗球蟲藥,anticoccidials drugs,12,TFDA
孔雀石綠,malachite green,11,
自由銷售證明,certificate of free sales,11,北區管理中心、防檢署、食藥署、食藥署(北區管理中心)
能力試驗,proficiency testing,11,TFDA、北區管理中心、漁業署、監管組、研檢組、食藥署
蛋品,egg products,11,TFDA、防檢署、食藥署、食藥署(中區管理中心)
生產輸銷美國加熱肉品食品工廠監督管理要點,Directions,11,防檢局、食藥署
特管食品,THE FOOD,11,
衛生局,Health Bureaus,11,
屠宰場,slaughterhouses,11,中區管理中心、防檢署、食藥署(中區管理中心)
動物產品中農藥殘留容許量標準,Standards for Pesticide Residue Limits in Animal Products,11,食藥署
食品原料,food raw materials,11,COA
食品標示,food labeling,11,Division、Food、Safety、TFDA、of、食品組、食藥署
交叉污染,cross-contamination,11,食品藥物管理署
化學殘留物,chemical residues,11,TFDA
藥理活性物質,pharmacologically active substance,11,TFDA、食品組5科、食藥署
原料,raw materials,11,食藥署
食品,food,11,TFDA、食品藥物管理署
食品安全管制系統,food safety control system,11,三區管中心、漁業署、食藥署食品組
重金屬,heavy metals,10,TFDA、漁業署、農政機關、防檢署、食品組、食藥署(食品組1科)
戴奧辛,dioxins,10,防檢署、食藥署、食藥署(食品組1科)
動物源性產品,animal origin products,10,中區管理中心、食品組5科
自主管理,self-management,10,食藥署、食藥署(食品組)
研究檢驗組,Division of Research & Analysis,10,防檢署、食品藥物管理署、食藥署(食品組)
食品衛生安全管理,management of food sanitation and safety,10,食品藥物管理署
衛生福利部食品藥物管理署,TFDA,10,TFDA、衛生福利部食品藥物管理署
危害分析重要管制點,Hazard Analysis Critical Control Point,10,食品組
農產品,agricultural produce,10,COA
官方管制,official controls,10,BSMI
殘留監測計畫,residue monitoring plan,10,BAPHIQ、TFDA、中區管理中心、防檢署、食品組5科、食藥署
抗生素,antimicrobials,10,APHIA
生產食品之動物,food-producing animals,10,防檢署
危害分析重要管制點,HACCP,10,
自由銷售證明,CERTIFICATE of FREE SALES AND MANUFACTURE,10,TFDA、衛生福利部食品藥物管理署、食品藥物管理署
歐盟法規,EU regulations,10,BAPHIQ
動物健康,animal health,10,食藥署
殘留物,residue,9,中區管理中心、食品組5科
食品安全衛生管理法施行細則,Enforcement Rules of the Act Governing Food Safety and Sanitation,9,北區管理中心、防檢署、食藥署
檢驗報告,test report,9,北區管理中心、防檢署、食藥署、食藥署(北區管理中心)
衛生標準,hygiene standards,9,漁業署
藥物殘留,drug residues,9,漁業署、農方、防檢署、食品組
銷毀,destroyed,9,2科)、TFDA、食藥署(食品組1科
食品及其相關產品追溯追蹤管理辦法,Regulations Governing Traceability of Foods and Relevant Products,9,食藥署
品保,quality assurance,9,食藥署(食品組)
認證機構,accreditation body,9,中區管理中心、防檢署
蜂蜜,Honey,9,
生產輸銷美國加熱肉品食品工廠監督管理工作計畫,Work Plan for Auditing Establishments Producing Heat Treated Meat Products for the U.S. Market,9,BAPHIQ、CCA、防檢局
水活性,water activity,9,防檢局
追蹤追溯,traceability,9,標準局、漁業署、食品組、食藥署、食藥署(食品組)
封存產品,sealing the products,9,食藥署、食藥署(食品組)
輸出產品,export products,9,
追溯追蹤系統,traceability system,9,
農委會,COA,9,農委會
食品業者,Food businesses,9,
肉品加工廠,meat processing plants,9,TFDA、食藥署
雞蛋,eggs,9,APHIA、BAPHIQ、防檢署
基因改造食品原料,genetically modified food raw materials,9,
殘留監測,residue monitoring,9,中區管理中心、防檢署
加熱肉品,heat-treated meat products,9,防檢局
食品衛生安全監測體系,food sanitation and safety monitoring system,9,食藥署(食品組)
食品藥物管理署,Food and Drug Administration,9,食品藥物管理署
甲殼類,crustaceans,9,
獸藥殘留,veterinary drug residues,9,BAPHIQ、中區管理中心、防檢署
獸醫主管機關,veterinary competent authority,8,
食品法規,food regulations,8,中區管理中心、食品組5科
地方政府衛生局,Local health bureaus,8,
食品衛生安全,food safety and sanitation,8,三區管中心、食品組、食藥署
分析物,analyte,8,畜產、衛生福利部食品藥物管理署
動物產品,animal product,8,APHIA、防檢署、食藥署
動物用藥殘留,veterinary drugs residue,8,
交叉污染,cross contamination,8,
水生生物產品,hydrobiological products,8,漁業署
食品業者登錄,food business registration,8,
水產養殖（魚類，包括鰻魚、甲殼類及其他水產養殖產品，如魚卵和魚子）,"Aquaculture (finfish, including eels, crustaceans and other aquaculture products, such as roes and caviar)",8,
生牛、羊及山羊乳,"Raw bovine, ovine and caprine milk",8,
雞蛋及其他蛋類,Hen eggs and other eggs,8,
食品廠,establishments,8,
殘留物監測計畫,residue monitoring plan,8,畜產、食藥署
肉製品,meat products,8,
食品安全問題,food safety issues,8,食藥署
戴奧辛,Dioxin,8,中區管理中心、品質監督管理組、防檢署
李斯特菌,Listeria monocytogenes,8,三區管中心、食品組1科
金黃色葡萄球菌,Staphylococcus aureus,8,三區管中心、防檢局、食品組1科、食藥署(三區管中心)
畜產品,livestock products,8,TFDA
邊境查驗,border inspections,8,2科)、食藥署(食品組1科
藥理活性物質,pharmacologically active substance(s),8,防檢署
良好衛生規範,GHP,8,
食品添加物使用範圍及限量暨規格標準,"Standards for Specification, Scope, Application and Limitation of Food Additives",8,
食品衛生訓練,food sanitation trainings,8,TFDA、衛生福利部食品藥物管理署
食品化學,food chemistry,8,TFDA
輸出食品,export food products,8,
動物用藥,veterinary medicinal products,8,防檢署
違規產品,non-compliance products,8,TFDA
檢驗報告,TEST REPORT,8,TFDA、衛生福利部食品藥物管理署、食品藥物管理署
肉品加工廠,meat processing establishments,8,
食品,Food,7,三區管中心、國貿署、食品組
食品標示,food labelling,7,TFDA、三區管中心、漁業署、衛生福利部食品藥物管理署
品質保證措施,quality assurance measures,7,
肉品,meat products,7,防檢局、防檢署、食藥署(中區管理中心)
食品組,Division of Food Safety,7,防檢署、食品藥物管理署、食藥署(食品組)
分析物,analytes,7,食藥署
農業部,Ministry of Agriculture,7,動植物防疫檢疫署
等效性,equivalence,7,衛生福利部食品藥物管理署
管制措施,control measures,7,防檢局
風險評估,risk assessments,7,
輸入食品,imported foods,7,Division、Food、Safety、of、食藥署
牛,Bovine,7,
羊,Ovine,7,
山羊,Caprine,7,
豬,Porcine,7,
馬,Equine,7,
家禽,Poultry,7,
腸衣,Casings,7,
卸魚場,Landing sites,7,三區管中心、漁業署、防檢署、食品組
官方實驗室,official laboratories,7,
單核球增多性李斯特菌,Lm,7,防檢局、食藥署
現場稽核,on-site inspection,7,食藥署、食藥署(食品組)
市場下架,withdrawing from the market,7,食藥署、食藥署(食品組)
食品行政管理,food administrative management,7,三區管中心、食品組
輸入食品,imported food,7,
戴奧辛類多氯聯苯,Dioxin-like PCBs,7,中區管理中心、品質監督管理組、防檢署
非戴奧辛類多氯聯苯,non-dioxin-like PCB,7,中區管理中心、品質監督管理組、防檢署
動物用藥殘留,residual veterinary drugs,7,三區管中心、漁業署、食藥署
抗生素,antibiotic,7,TFDA、食藥署
停藥期,drug withdrawal periods,7,防檢署
食品器具容器包裝衛生標準,"Sanitation Standard for Food Utensils, Containers and Packages",7,
飲用水水質標準,Drinking Water Quality Standards,7,
流行病學調查,epidemiological survey,7,食藥署(食品組6科)
輸入,imported,7,食藥署(食品組6科)
輸出,exported,7,食藥署(食品組6科)
食品安全與品質,food safety and quality,7,
地方政府衛生局,local county/city health bureaus,7,食藥署
TAF認證,TAF accredited,7,防檢局、食藥署(北區管中心)
氯黴素,Chloramphenicol,7,防檢局、防檢署
監控計畫,control plan,7,食藥署
鴨蛋,duck egg,7,
化學殘留,chemical residues,7,TFDA
基質,matrices,7,畜產
標準作業程序,standard operating procedures,7,
衛生管制系統,sanitation control systems,7,
食品安全管理,food safety management,7,
殘留物監測,residue monitoring,7,防檢署、食藥署、食藥署(中區管理中心)
抗球蟲藥,coccidiostats,7,防檢署
抗原蟲藥,antiprotozoals,7,防檢署
歐盟標準,EU standards,6,
確效,validated,6,中區管理中心、中央畜產會、品質監督管理組、研檢組
食品業者,food business,6,食藥署
檢驗機構,testing institutions,6,
肉類加工業,meat processing industries,6,
食安法施行細則,Enforcement Rules of the Act Governing Food Safety and Sanitation,6,防檢局、食藥署
MOHW,MOHW,6,
食品衛生安全及品質,"food sanitation, safety and quality",6,三區管中心、食品組
產品品質保證,product quality assurance,6,
藥物與化學殘留,drug and chemical residues,6,
農藥管理法,Agro-pesticides Management Act,6,
退運,returned,6,2科)、食藥署(食品組1科
動物源食品,animal origin products,6,
認證證書,accreditation certificate,6,中區管理中心、防檢署
食品安全風險評估,food safety risk assessment,6,BAPHIQ
蛋雞,laying hens,6,防檢署
動物用藥,veterinary medicines,6,中區管理中心、品質監督管理組、防檢署
蛋品,egg samples,6,中區管理中心、防檢署、食藥署
水產養殖用藥指南,The guidelines for use of drugs in aquaculture,6,APHIA
水產飼料,feed for aquaculture,6,三區管中心、漁業署、防檢署、食品組
能力試驗計畫,proficiency testing schemes,6,中區管理中心、品質監督管理組、防檢署
加工衛生證明,Manufactured Sanitary Certificate,6,動植物防疫檢疫局、防檢署、食藥署(北區管理中心)
食品加工廠,food processing establishments,6,三區管中心、漁業署、食品藥物管理署
甲硝唑,metronidazole,6,防檢署
喹諾酮類,quinolones,6,TFDA、食藥署
四環素類,tetracyclines,6,TFDA、食藥署
大環內酯類,macrolides,6,TFDA、食藥署
殘留農藥,pesticide residue,6,
方法確效,method validation,6,中區管理中心、品質監督管理組、防檢署
歐盟,European Union,6,食藥署
官方取樣,official sampling,6,中區管理中心、防檢署
蛋類與蛋製品,egg and egg products,6,
食品法典指南,Codex Alimentarius guidelines,6,中區管理中心、防檢署
現場查核,on-site examination,6,
區管中心,Regional Administration Centers,6,
主動查驗,active inspection,6,食藥署(食品組)
自主檢驗,perform testing on their own,6,食藥署(食品組)
食品製造業者,food manufacturers,6,食品藥物管理署、食藥署(食品組)
複合性食品,composite products,6,食藥署
即食性加熱全熟肉品,heat-treated RTE meat products,6,防檢局、食藥署
重金屬,heavy metal,6,
可食用動物基質,edible animal matrices,6,農政機關、食藥署
動物來源食品,food of animal origin,6,
衛生管理,hygiene management,6,農政機關、食藥署
澳洲紐西蘭食品標準法典,Australia New Zealand Food Standards Code,6,
風險分析,risk profiling,6,中區管理中心、防檢署
執委會實施條例,Commission Implementing Regulation,6,畜產
魚子醬,caviar,6,
食品良好衛生規範準則,GHP,6,食藥署、食藥署(食品組)
ISO/IEC 17025,ISO/IEC 17025,6,TFDA、食藥署(北區管中心)
中央主管機關,central competent authorities,6,
殘留限量,residue limits,6,
雞蛋,hen egg,6,
食品衛生與安全管理,food sanitation and safety management,6,TFDA、衛生福利部食品藥物管理署
偵測極限,limit of detection,6,
行動基準,level of action,6,
動物用藥品處方,veterinary prescription,6,
半成品,semi-finished products,6,
飼料管理法,Feed Control Act,6,三區管中心、漁業署、食品組
品質監督管理組,Division of Quality Compliance and Management,6,防檢署、食藥署(食品組)
食品衛生安全,food hygiene and safety,6,三區管中心、防檢署、食藥署(三區管中心)、食藥署(食品組)、食藥署食品組
目標微生物,target microorganisms,5,食品組、食藥署(三區管中心)、食藥署(食品組)
銷毀,destruction,5,
認證,certification,5,研檢組、食藥署(監管組)
食品衛生檢驗,testing for food sanitation,5,
中央及地方衛生主管機關,central or local health authorities,5,
食品業者,food businesses operators,5,
實驗室,laboratories,5,
衛生標準,sanitation standards,5,TFDA
動物源食品,products of animal origin,5,
COA,COA,5,
追溯性,traceability,5,BAPHIQ、漁業署
動植物防疫檢疫署,Bureau of Animal and Plant Health Inspection and Quarantine (BAPHIQ),5,動植物防疫檢疫署
抗菌劑,antimicrobials,5,
動物用藥殘留,veterinary drug residue,5,中區管理中心、衛生福利部食品藥物管理署、防檢署、食藥署
抗球蟲藥物,anticoccidials,5,APHIA、防檢局、防檢署
重金屬,metals,5,TFDA
認證實驗室,accredited laboratories,5,中區管理中心、防檢署、食藥署(監管組)
動物用藥與農藥殘留物容許量,veterinary drug and pesticide residue limits,5,食藥署
水產品加工廠,aquatic product processing plants,5,
食品中毒防治衛生講習,food poisoning prevention seminar,5,
蛋類與蛋製品,eggs and egg products,5,
蛋類,eggs,5,
輸銷歐盟漁獲物魚市場及卸魚場衛生管理作業要點,Directions on Sanitation Management of Auction Markets and Landing Sites for Fishery Products Intent to Export to EU,5,三區管中心、漁業署
遠洋漁船,Distant water fishing vessels,5,三區管中心、漁業署
外銷登錄遠洋漁船衛生管理作業要點,Directions on Hygiene Management of Distant Water Fishing Vessels Registered to Export Fishery Products,5,三區管中心、漁業署
沿近海漁船,Coastal waters fishing vessels,5,三區管中心、漁業署
輸歐盟漁產品供貨漁船衛生管理作業要點,Direction Governing Sanitation Management of Fishing Vessels Supplying Fishery Products to Processing Plants Intent to Export to EU,5,三區管中心、漁業署
中央主管機關,CCA,5,BAPHIQ、防檢局
食品及相關產品追溯管理辦法,Regulations Governing Traceability of Foods and Relevant Products,5,
特管食品（包括水產副產品）,THE FOOD (including fishery by-products),5,
回收產品,recalling the products,5,食藥署
雙枚貝類,bivalve mollusc,5,
動物用藥殘留,residues of veterinary drugs,5,中區管理中心、品質監督管理組、防檢署
農藥殘留,pesticides residues,5,TFDA、中區管理中心、品質監督管理組、防檢署
食品良好衛生規範準則（GHP）,Regulations on Good Hygiene Practice for Food (GHP),5,
良好衛生規範,good hygiene practice (GHP),5,
沙門氏菌,Salmonella spp.,5,三區管中心、食品組1科
屠體,carcasses,5,農政機關、防檢署
分離生產系統,segregated production system,5,防檢署
馬兜鈴屬,Aristolochia spp.,5,
單核球增多性李斯特菌,Listeria monocytogenes,5,食藥署(三區管中心)
硝基呋喃類,nitrofurans,5,
分析方法,analytical methods,5,畜產
定量極限,limit of quantification (LOQ),5,TFDA
法律依據,legal basis,5,防檢署
全國認證基金會,Taiwan Accreditation Foundation (TAF),5,TFDA、防檢局
國際實驗室認證聯盟,International Laboratory Accreditation Cooperation (ILAC),5,TFDA、防檢局
亞太認證合作組織,Asia Pacific Accreditation Cooperation (APAC),5,TFDA、防檢局
國際相互承認協議,Mutual Recognition Arrangement (MRA),5,TFDA、防檢局
目標物種,target species,5,防檢署
給藥途徑,route of administration,5,防檢署
熱處理,heat treatment,5,
農業部,MOA,5,MOA、農業部、防檢署
農業委員會,Council of Agriculture (COA),5,
最大殘留容許量,MRLs,5,TFDA
獸藥殘留,veterinary drug residue,5,BAPHIQ、TFDA、The、中區管理中心、防檢署
國家管制方案,National Control Programmes,5,
後市場監測,post-market surveillance,5,
食品稽查專案,food inspection projects,5,食品藥物管理署、食藥署
二苯乙烯,stilbenes,5,防檢署
食品衛生,food sanitation,5,研檢組
磺胺類,sulphonamides,5,TFDA
β-內醯胺類,β-lactam,5,TFDA
微生物,microbiology,5,
獸藥殘留,veterinary drugs residue,5,
肉品,meat,5,農政機關、防檢局
最大殘留限量,MRLs,5,食品組5科、食藥署
地方政府衛生局,Local County/City Health Bureaus,5,
輸出國,exporting countries,5,農政機關
委員會 98/179/EC 決議,Commission Decision 98/179/EC,5,
食品業者,food business operator,5,中區管理中心、防檢署
第三國,third countries,5,食藥署
食品安全事件,food safety issues,5,食藥署
衛生福利部食品藥物管理署,"Food and Drug Administration, Ministry of Health and Welfare",5,衛生福利部食品藥物管理署
下架,withdrawing from the market,5,
檢疫證明,veterinary certificate,5,動植物防疫檢疫局、食藥署(北區管理中心)
食品安全管理系統,food safety management system,5,防檢局
