中文字詞,英文字詞,出現頻率
氨基態氮測定裝置,Amino nitrogen measuring device,2
水分測定器,Moisture detector,2
食品良好衛生規範,regulations on good hygiene practices for food,2
水產食品科,fishery food science,2
家政科,home economics,2
畜產保健科,livestock industry and health protection,2
農場經營科,farm management,2
園藝科,horticulture,2
化工科,chemical engineering,2
環境檢驗科,environmental conditioning,2
漁業科,fishery,2
水產養殖科,aquaculture,2
觀光事業科,tourism industry,2
營養師,dietitian,2
衛生主管機關,health competent authorities,2
烘焙業,Bakery,2
中式麵食加工技術士,processing Chinese noodle technician,2
食品衛生安全事件,food safety incidents,2
食品品質管制,food quality control,2
食品衛生安全風險,risk assessment and risk management of food sanitation and safety,2
實驗室品質保證,laboratory quality assurance,2
食品衛生安全教育訓練,food sanitation and safety educational trainings,2
農藥殘留容許量標準,Standards for Pesticide Residue Limits in Foods,2
代謝產物,metabolites,2
作物分類,Classification of Crops,2
禁止使用之農藥,Pesticides Prohibited for Use,2
真菌毒素,mycotoxins,2
重金屬,metals,2
甲殼類及其製品,Crustacea and products thereof,2
芒果及其製品,Mango and products thereof,2
花生及其製品,Peanut and products thereof,2
牛奶、羊奶及其製品,"Milk, goat milk and products thereof",2
蛋及其製品,Egg and products thereof,2
堅果類及其製品,Nuts and products thereof,2
芝麻及其製品,Sesame and products thereof,2
大豆及其製品,Soybean and products thereof,2
二氧化硫,SO2,2
終產品,final products,2
食品及相關產品輸入查驗辦法,Regulations of Inspection of Imported Foods and Related Products,2
產地,country of origin,2
活體、生鮮或冷藏,"live, fresh, or refrigerated",2
逐批查驗,Batch-by-batch inspection,2
抽批查驗,Randomly-selected batch inspection,2
加強抽批查驗,Reinforced randomly-selected batch inspection,2
驗證查驗,certification inspection,2
監視查驗,Monitoring inspection,2
貨品分類號列,ccc Code,2
產品安全衛生資訊,product safety and health information,2
同貨品分類號列,same CCC Code,2
具結先行放行,Prior Release,2
產品完稅價格,Duty-paying value of the product,2
輸入許可通知,import permit notification,2
改正標示,relabeling,2
輸出國（地）,exporting country(territory),2
書面審查,document review,2
等效性,equivalence,2
輸入紀錄,import records,2
指定生產設施,designated establishments,2
國際標準組織,international standard organizations,2
食品檢體,food samples,2
檢驗報告書,test report,2
檢驗結果,test results,2
檢驗機構,Testing institution,2
認證,Accreditation,2
安全容許量,permissible tolerance,2
限量標準,limitation standards,2
暫行標準,provisional standards,2
品質管理系統,quality management system,2
食品檢驗,food testing,2
實驗室負責人,laboratory head,2
技術主管,technical manager,2
品質主管,quality control manager,2
檢驗人員,test personnel,2
品質手冊,Quality Manual,2
檢驗方法標準作業程序,Standard operating procedures for methods of testing,2
檢驗項目,test item,2
檢驗方法,test method,2
認證證明書,accreditation certificate,2
檢驗項目,test items,2
樣品,sample(s),2
樣品,sample,2
能力試驗,proficiency testing,2
認證項目,accredited test items,2
檢驗報告,test reports,2
能力試驗,proficiency test,2
改善報告,corrective action report,2
成品,finished goods,2
有效日期,expiration date,2
進貨量,procurement volume,2
庫存量,inventory levels,2
產品,Products,2
最終處置,final disposal,2
食品添加物,Food Additives,2
食品安全管制系統準則,Regulations on Food Safety Control System,2
病原性生物,pathogenic organisms,2
品名,product names,2
改裝廠商,repacking factory,2
甜味劑,Sweeteners,2
防腐劑,preservatives,2
抗氧化劑,antioxidants,2
輸入食品,imported food,2
混裝食品,assorted product,2
分裝,sub-packaging,2
包裝,package,2
主要成分,main ingredients,2
間接接觸面,Indirect contact surface,2
食品工廠,Food factory,2
原料,Ingredients,2
食品從業人員,Food workers,2
直接接觸面,Direct contact surface,2
區隔,Separation,2
商業滅菌,Commercial sterilization,2
包裝材料,packaging materials,2
貯存條件,storage conditions,2
冷凍,freezing,2
冷藏,refrigeration,2
溫度,temperature,2
溼度,humidity,2
衛生管理,sanitation-related,2
微生物檢驗,microbiological analysis,2
食品製造業,food manufacturing industry,2
品保要求,quality assurance requirements,2
pH值,pH value,2
水活性,Water activity,2
肉毒桿菌,Clostridium botulinum,2
標準作業程序,standard operating procedures,2
衛生管理,hygiene management,2
產品登錄碼,product registration codes,2
冷藏貯存設備,refrigerated storage equipment,2
生鮮水產品,aquatic food products,2
食品用清潔劑,food cleansers,2
餐飲業,food and beverage industry,2
殺菌設備,sterilization equipment,2
殺菌專業機構,professional sterilization institution,2
熱殺菌,Heat Sterilization,2
原料材料,raw materials and materials,1
衛生,sanitation,1
食品安全危害,food safety hazards,1
食品安全管制系統,Food Safety Control System,1
重要管制點,critical control point,1
系統性變異,systematic deviation,1
處理,treatment,1
內部稽核,internal audit,1
書面紀錄,written records,1
負責人,legal representative,1
指定人員,staff designated by him,1
食品衛生,food sanitation,1
食品安全會報,Food Safety Board,1
衛生福利主管機關,competent authority in charge of health and welfare,1
特殊營養需求,special nutrient requirement,1
食品安全衛生管理措施,food safety and sanitation management measures,1
加工助劑,processing aid,1
食品容器或包裝,food containers or food packaging,1
基因改造食品,genetic modification,1
食品安全風險管理,Risk Management for Food Safety,1
毒理,toxicology,1
風險管理,risk management,1
農業,agriculture,1
基因改造食品,genetically modified foods,1
食品廣告標示,food advertising and labeling,1
食品檢驗方法,food testing methods,1
科學實證,scientific evidence,1
食品衛生安全監測體系,food sanitation and safety monitoring system,1
預警,early warning,1
食品藥物管理署,Food and Drug Administration,1
預警原則,precautionary principle,1
流行病學調查,epidemiological survey,1
輸入查驗,importation inspection,1
下架,withdraw from the market,1
封存,seal the products,1
沒入銷毀,confiscate and destroy,1
良好衛生規範準則,good hygiene practice,1
良好衛生規範準則,good hygiene practice for foods,1
食品追溯或追蹤系統,food traceability system,1
認證,accredited,1
包裝,packaged,1
運送,transported,1
貯存,stored,1
食品工廠,food factory,1
食品衛生安全管理,food sanitation and safety management,1
食品衛生管理,Food Sanitation Control,1
輸入,importation,1
食品添加物,additives,1
製造、加工、調配,"manufacturing, processing and preparation",1
殘留農藥或動物用藥,pesticide or veterinary drugs residue,1
風險評估,assessing risks,1
有害人體健康之物質,substances harmful to human health,1
中央農業主管機關,central competent agricultural authority,1
改裝,repacked,1
安全衛生及品質之標準,"safety, sanitation and quality standards",1
健康風險評估,health risk assessment,1
屠體,carcasses,1
內臟,viscera,1
分切物,meat cuts,1
暫行標準,provisional standard,1
食品標示,Food Labeling,1
食品原料,food raw materials,1
食品容器,food container,1
製造廠商,manufacturers,1
受託製造廠商,businesses that are entrusted to manufacture,1
輸入廠商,importers,1
食品器具,Food utensils,1
食品輸入管理,Food Import Control,1
基因改造食品原料,genetically modified foodraw materials,1
食品添加物,foodadditives,1
食品容器或包裝,food containersor packaging,1
輸入許可,entry,1
系統性查核,systematic audits,1
輸出國,export country,1
香料,flavoring agents,1
食品檢驗,Food Analysis,1
檢驗結果,analysis results,1
複驗,retesting,1
產地,place of origin,1
各級主管機關,competent authority at all levels,1
食品檢驗方法諮議會,Advisory Committee of Food Testing Methods,1
檢驗,testing,1
品保,quality assurance,1
食品安全衛生,food safety and sanitation,1
現場查核,on-site verification,1
食品中毒防治,food poisoning prevention,1
廣告,advertisements,1
食品追溯或追蹤,food tracing or tracking,1
公共飲食場所安全衛生,safety and sanitation of public food and beverage sites,1
輸入產品資訊,information of imported goods,1
食品安全監測計畫,food safety monitoring plan,1
衛生證明,sanitary certificate,1
食品追溯或追蹤,trace or track food,1
輸出國之官方衛生證明,official sanitation certificate issued by the export country,1
規格及其使用範圍、限量,"specifications, scope of use, or limitations",1
食品業者衛生安全管理驗證,certification of sanitation and safety control of food business operators,1
法人,corporation,1
團體,organization,1
退運,return,1
標準,standards,1
沒入銷毀,confiscated and destroyed,1
消毒,disinfecting,1
食用,edible,1
回收,recalled,1
暫停作業,suspension of operation,1
停止販賣,cease of sales,1
封存,sealed,1
輸入,importer,1
販賣,seller,1
食品業者,food business operator,1
調配,preparing,1
運送,transporting,1
輸入,importing,1
輸出,exporting,1
直轄市、縣（市）主管機關,municipal or county (city) competent authority,1
商品名稱,product name,1
通關查驗,inspection at ports of entry,1
許可,license,1
食品安全保護基金,safety protection fund for protecting the consumers' right in the event of food safety,1
食品器具或容器,food utensils and food containers,1
實驗室,laboratories,1
製造及加工業,manufacturing and processing business,1
餐飲業,catering business operators,1
填報人,Filing Personnel,1
輸入類別,Category of products to be imported,1
輸入之產品資訊,Information on the products to be imported,1
分裝,Repackaging,1
輸入行為,importing activities,1
販售之產品資訊,Information on the products to be sold,1
販售行為,sales activities,1
倉儲場所,Storage place,1
運輸工具,Transportation vehicle,1
物流,logistics,1
直轄市、縣(市)主管機關,municipality or county (city) competent authority,1
調配,preparation,1
原材料,Raw material,1
產品,product,1
加工,manufacturer,1
加工,manufacture,1
產品流向資訊,Product flow information,1
不良相關紀錄,inferior products,1
販賣、輸出業者,food businesses that engage in the sale and export,1
產品,food products,1
輸出業者,export,1
逾有效日期,passed their expiry date,1
罐頭食品工廠,Canned food factories,1
冷凍食品工廠,Frozen food factories,1
蜜餞醃漬工廠,Candied fruit factories,1
飲料工廠,Beverage factories,1
醬油工廠,Soy sauce factories,1
乳品工廠,Dairy product factories,1
食用油脂工廠,Edible oil factories,1
脫水蔬果工廠,Dehydrated vegetable and fruit factories,1
餐盒食品工廠,Lunch box food factories,1
速食麵工廠,Instant noodle factories,1
食品添加物工廠,Food additive factories,1
食品工廠,Food Factory,1
原料處理場,raw material preparation site,1
加工或調理場,processing or dressing site,1
檢驗或研究室,inspection room or laboratory,1
倉庫,warehouse,1
經濟部,Ministry of Economic Affairs,1
原料處理場,raw material preparation sites,1
加工或調理場,"processing, dressing",1
包裝室,packaging sites,1
倉庫,Warehouse,1
原料倉庫,raw material warehouse,1
成品倉庫,finished product warehouse,1
禽畜,Livestock,1
汙染食品,contaminating the food,1
食品暴露,exposed food,1
冷凍食品,frozen food,1
飲料,beverage,1
乳品,dairy products,1
加工室,processing room,1
倉庫,warehouses,1
病媒,disease vectors,1
加工調理場,processing/dressing site,1
內包裝室,indoor packaging room,1
清洗消毒,"cleaning, sterilization",1
品質衛生,quality and hygiene,1
潤滑油,lubricants,1
金屬碎屑,metal filings,1
汙染,contamination,1
生產設備,production equipment,1
機器設備,machinery and equipment,1
消毒設備,disinfection equipment,1
罐頭食品工廠,canned food factories,1
罐頭真空測定器,Can vacuum tester,1
耐壓測定器,pressure resistance tester,1
捲封測微器,Closed volume micrometer,1
耐壓強度測定裝置,Compressive strength measuring device,1
殺菌袋裝罐頭食品工廠,retort pouch canned food factories,1
調理臺及調理工具,Dressing table and dressing tools,1
脫氣設備,Degassing equipment,1
清洗消毒設備,Cleaning and sterilizing equipment,1
殺菌後冷卻設備,Post-disinfection cooling equipment,1
填充液調配設備,Filling solution preparation equipment,1
批號及日期標示設備,Batch number and date labeling equipment,1
空罐(瓶)噴洗設備,Empty can (bottle) spray washing equipment,1
冷凍(藏)庫,Freezer (refrigerator),1
線上真空檢測器,In-process vacuum leak detector,1
打檢棒,vacuum probe,1
固定之開罐器,Fixed can opener,1
給水裝置,Water supply device,1
袋內殘留空氣量測定裝置,Measuring device for residual air in bag,1
罐頭檢漏設備,Can leak detection device,1
尖頭型鐵皮厚度測微器,Point micrometer,1
冷凍食品工廠,frozen food factories,1
原料洗滌設備,Raw material washing equipment,1
殺菁設備,Blanching equipment,1
糖度計或糖度折射計,Glucose meter or glucose refractometer,1
藥物殘留檢驗設備,Drug residue detection device,1
糖漬槽或桶,candied tanks or barrels,1
湯煮桶,soup cooking barrels,1
二重釜,Steam-jacketed kettle,1
曬場,drying field,1
糖度折射計,glucose refractometer,1
二氧化硫定量裝置,Sulfur dioxide quantitative determination device,1
飲料工廠,beverage factories,1
充填設備,Filling machine,1
過濾設備,Filter,1
果蔬汁飲料工廠,Fruit and vegetable juice factories,1
精濾機,Fine filter,1
離心機,centrifuge,1
均質機,homogenizer,1
容器洗滌消毒設備,Container washing and sterilizing equipment,1
瓶裝飲料,Bottled drink,1
碳酸氣混合機,Carbonated mixer,1
冷凍機,Freezer,1
洗滌槽,Washing tank,1
洗滌槽或迴轉式洗滌機,Washing tank or rotary washing machine,1
糖度計或糖度折射計,Glucose meter or glucose refract meter,1
離心分離器及真空測定器,Centrifugal separator and vacuum tester,1
壓力測定器,Pressure detector,1
鹽度計,salinity meter,1
原料選別設備,Raw material sorting equipment,1
蒸煮設備,Steam cooker,1
炒麥設備,wheat frying equipment,1
混合設備,Blender,1
製麴設備,Koji making equipment,1
食鹽溶解設備,Salt dissolving equipment,1
發酵設備,Fermentation equipment,1
壓榨設備,Compressing equipment,1
澄清槽,Settling tank,1
殺菌設備,Disinfection,1
無菌室,Sterile room,1
總氮測定裝置,Total nitrogen measuring device,1
氨基態氮測定設置,Amino nitrogen determination equipment,1
加工設備,processing equipment,1
衛生條件,sanitation conditions,1
冷卻設備,milk cooling equipment,1
貯水槽,milk storage tank,1
收乳及貯乳設備,Milk collection and milk storage equipment,1
秤量設備,weighing equipment,1
儲乳槽,milk storage tank,1
乳桶洗滌殺菌設備,milk barrel washing and disinfection equipment,1
牛乳幫浦,milk pump,1
乳液冷卻設備,milk cooling equipment,1
生乳檢查設備,raw milk inspection equipment,1
冷藏運輸車,cold storage vehicles,1
鮮乳及調味乳處理工廠,Fresh milk and flavored milk processing factories,1
洗瓶機,Bottle washing machine,1
煉乳,condensed milk,1
預熱設備,Pre-heat equipment,1
調合處理設備,Blending and processing equipment,1
空罐清洗及殺菌設備,Empty can washing and disinfection equipment,1
奶水及煉乳自動裝罐封罐機,Milk and condensed milk automatic filling and sealing machines,1
酵液調和槽,Broth blending tank,1
酸酵槽,Fermenter,1
稀釋調合設備,Dilution blending equipment,1
裝瓶機,filling machines,1
紙器包裝機,paper packing machine,1
乳粉調配,Powdered milk blending plants,1
乳粉自動充填、封蓋設備,Powdered milk automatic filling and sealing equipment,1
秤量設備,Weighing equipment,1
混合設備,Mixing equipment,1
微生物檢驗設備,Microbiological analysis equipment,1
體細胞數測定設備,Somatic cell count equipment,1
食用油貯槽,Edible oil storage tanks,1
不鏽鋼,Stainless steel,1
溶劑提油廠,Oil solvent extraction factories,1
溶劑貯桶,Solvent storage tanks,1
氮氣充填設備,Nitrogen filling equipment,1
脫氧劑,Deoxidant,1
空罐清洗及殺菌設備,Empty can disinfection and cleaning equipment,1
烤酥油,Shortening,1
動物油脂,Animal fat,1
精製油,Refined oil,1
大豆油,Soybean oil,1
動物油脂工廠,Animal fat factories,1
精製油煉製廠,Refined oil manufacturing plants,1
精製大豆油工廠,Refined soybean oil factories,1
熱炸法原油煉製廠,Hot fried soybean refineries,1
精製動物油脂廠,Refined animal fat factories,1
溶劑殘留測定器,solvent residue detection device,1
雜菌,bacteria,1
含皂份,saponification value,1
酸價,saponification value,1
顏色測定器,Color measuring device,1
切(碎)肉機,Slicing(shredding) machine,1
炸油鍋,Frying pan,1
油壓機,Hydraulic machine,1
冷卻槽,Cooling tank,1
人造奶油,margarine,1
細菌,bacteria,1
精製油,refined oil,1
原油煉製廠,refineries,1
脫水蔬果工廠,dehydrated vegetable and fruit factories,1
水分,Moisture,1
蔬菜工廠,Dehydrated vegetable factories,1
果實工廠,Dehydrated fruit factories,1
洗滌機,Washing machine,1
糖漬設備,candied equipment,1
果實工廠,fruit factories,1
批次糖漬設備或連續糖漬設備,Batch candied equipment or continuous candied equipment,1
洗滌機或容器,Washing machine or container,1
切角機,Corning cutting machine,1
切片機,Slicer,1
熱風、冷凍或其他乾燥設備,"Hot-air drying, freeze-drying or other drying equipment",1
糖度計或糖度折射計,Glucose meter and glucose refract meter,1
灰分測定裝置,Ash measuring device,1
原料處理場,Raw material preparation site,1
加工調理場,Processing/dressing site,1
冷凍庫、冷藏庫,Freezer/ and refrigerator,1
包裝場所,Packaging site,1
微生物檢驗設備,Microbiological inspection equipment,1
一般品質檢驗設備,General quality inspection equipment,1
不鏽鋼探針溫度計,stainless steel probe thermometer,1
主食加工設備,staple food processing equipment,1
食品器具容器洗滌消毒設備,Food container washing and sterilizing equipment,1
包裝作業場所,The packaging site,1
味精工廠,Monosodium glutamate (MsG) factories,1
酸價,acid value,1
水份測定器,Moisture detector,1
乾燥機,dryer,1
味精工廠,Monosodium glutamate(MSG) factories,1
酸價,acidvalue,1
碘價,iodine valu,1
味精工廠,MSG factories,1
水分或水活性測定設備,Moisture or water activity measuring equipment,1
保溫箱,Incubator,1
光電比色計,Photoelectric colorimeter,1
粒度篩別機,Granularity screening machine,1
菌體量測定器,Biomass measuring device,1
粉碎機,Crusher,1
混合或煉合機,Mixer,1
乾燥機,Dryer,1
噴霧、送風、乾燥設備,"Mist sprayer, air blower, and drying equipment",1
集粉處理設備,Powder collection and processing equipment,1
攪拌及混合設備,Stirring and blending equipment,1
加熱反應設備,Heating reactors,1
濃縮設備,Concentration equipment,1
溶解設備,Dissolving equipment,1
儲存設備,Storage device,1
氣相層析儀,Gas chromatography,1
液相層析儀,Liquid chromatography,1
分光光度計,Spectrophotometer,1
比重計,Hydrometer,1
原子吸收光譜儀,Atomic absorption spectrophotometer,1
濁度計,Turbidimeter,1
導電度計,Electrical conductivity meter,1
比旋光度計,Polarimeter,1
折射計,Refractometer,1
衛生管理人員,Sanitation Control Personnel,1
食品衛生相關機構,food sanitation organization,1
中央主管機關,central competent authorities,1
工廠登記證明,factory registration certificate,1
畜牧技師,livestock technologist,1
食品良好衛生規範,good hygiene practices for food,1
工廠登記證明文件,factory registration certificate,1
食品衛生相關機構,food sanitation organizations,1
水產加工食品業,Aquatic products processing,1
水產養殖技師,aquaculture technologist,1
餐盒食品製造加工、調配業,Meal boxes processing,1
餐飲業,Catering Businesses,1
中餐烹調技術士,Chinese cooking technician,1
西餐烹調技術士,western cooking technician,1
烘焙食品技術士,bakery technician,1
餐飲業,catering services,1
衛生講習,sanitation workshops,1
食品原材料,food raw materials,1
食品原材料衛生安全,sanitation and safety of food raw materials,1
食品之良好衛生規範準則,regulations on good hygiene practice,1
食品安全衛生管理法,laws and regulations,1
國內外食品相關法規,laws and regulations,1
動物產品,animal products,1
農藥殘留容許量標準表,Standards for the Pesticides Residue Limits in Foods Table,1
外源性農藥殘留容許量標準,Extraneous Residue Limits,1
農藥殘留量,Pesticide Residue Limits,1
農藥殘留容許量標準,Standards for Pesticide Residue Limits,1
農藥,pesticide,1
殘留容許量,MRLs,1
殘留容許量,Residue Limits,1
農藥殘留,Pesticide Residue,1
代謝物,metabolites,1
真菌,fungi,1
限量,limits,1
食品中汙染物質及毒素衛生標準,Sanitation Standards for Contaminants and Toxins in Foods,1
汙染物質,Contaminants,1
蟲體碎片,insect fragments,1
毛髮,hairs,1
外來異物,extraneous foreign matters,1
農藥,pesticides,1
動物用藥,veterinary drugs,1
原子塵,atomic dust,1
放射能汙染物,radioactivity contamination,1
多氯聯苯,polychlorinated biphenyl,1
戴奧辛,dioxins,1
限量,Maximum levels (ML),1
限量,Maximum levels,1
一般食品衛生標準,Sanitation Standards for General Foods,1
汙染物質,contaminants,1
食品用水,Water for food production,1
食用冰塊,edible ice cubes,1
飲料,beverages,1
包裝飲用水,bottled and packaged drinking water,1
溴酸鹽,bromate,1
咖啡因含量,Caffeine content,1
茶,tea,1
可可,cocoa,1
咖啡,coffee,1
嬰兒穀物類輔助食品,cereal-based food for infants,1
農藥殘留,residual pesticide,1
農藥檢驗,pesticide testing,1
食品過敏原標示規定,Regulation of Food Allergen Labeling,1
致過敏性內容物,allergic substances,1
含麩質之穀物及其製品,Cereals containing gluten and products thereof,1
亞硫酸鹽類,sulphites,1
魚類及其製品,Fish and products thereof,1
大豆油（脂）,soybean oil (fat),1
植物固醇,phytosterols,1
植物固醇酯,phytosterol esters,1
食品安全衛生管理法,Act Governing Food safety and Sanitation,1
查驗機關,Inspection authority,1
檢驗,Analysis,1
產品品名,product name,1
外觀,appearance,1
性狀,characteristics,1
感官,sensory,1
物理性,physical,1
生物,biological,1
化學性,chemical,1
查驗申請書,inspection application form,1
產品資料表,product information sheet,1
進口報單,import declaration,1
貨品分類號列,commodity classification code,1
廠牌,brand,1
輸入食品,Imported Foods,1
港埠,port,1
同類別產品,same category of products,1
同批,the same batch,1
查驗申請,inspection application,1
食品安全衛生,safety or sanitation,1
查核,verification,1
檢驗,analysis,1
驗證查驗,Certification inspection,1
逐批查驗,batch-by-batch verification,1
查驗計畫,inspection plan,1
輸出國,exporting country,1
安全衛生,safety or sanitation,1
同貨品分類號列,ccc Code,1
檢驗不合格,analysis results do not conform to regulations,1
